Year,Region,Sector,Electricity Consumption (MWh),Name,Date_Object,Periodicity
2021,Southern,Residential,18978754.09,Residential : Southern,1/1/2021,Annually
2021,Eastern,Governmental,8370933.119,Governmental : Eastern,1/1/2021,Annually
2021,Central,Agricultural,3459457.176,Agricultural : Central,1/1/2021,Annually
2021,Total,Agricultural,5479669.29,Agricultural : Total,1/1/2021,Annually
2021,Western,Others,3250787.805,Others : Western,1/1/2021,Annually
2021,Southern,Total,32795695.17,Total : Southern,1/1/2021,Annually
2022,Central,Commercial,19151594.96,Commercial : Central,1/1/2022,Annually
2022,Southern,Agricultural,113065.1255,Agricultural : Southern,1/1/2022,Annually
2022,Total,Agricultural,5651546.864,Agricultural : Total,1/1/2022,Annually
2022,Central,Others,4003095.959,Others : Central,1/1/2022,Annually
2022,Eastern,Total,84827868.77,Total : Eastern,1/1/2022,Annually
2005,Central,Residential,25109641,Residential : Central,1/1/2005,Annually
2005,Eastern,Residential,15229332,Residential : Eastern,1/1/2005,Annually
2005,Western,Industrial,2595075,Industrial : Western,1/1/2005,Annually
2005,Total,Industrial,33800579,Industrial : Total,1/1/2005,Annually
2005,Central,Governmental,6361952,Governmental : Central,1/1/2005,Annually
2005,Central,Commercial,5095729,Commercial : Central,1/1/2005,Annually
2005,Southern,Commercial,872702,Commercial : Southern,1/1/2005,Annually
2005,Central,Agricultural,2326012,Agricultural : Central,1/1/2005,Annually
2005,Eastern,Total,53350046,Total : Eastern,1/1/2005,Annually
2005,Southern,Total,11009988,Total : Southern,1/1/2005,Annually
